Official Name of Satellite,Country/Organization of UN Registry,Operator/Owner,Country of Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of Geosynchronous Orbit (Degrees),Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Launch Mass (Kilograms),Dry Mass (Kilograms),Power (Watts),Date of Launch,Expected Lifetime (Years),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number
Astra 1N,Luxembourg,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,,GEO,,28.2,35715,35780,0.000772,0.12,1434.1,5350,,,8/6/2011,15,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA,2011-041A,37775
Astra 2A,Luxembourg,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,,GEO,,28.16,35776,35797,0.000249,0.08,1436.12,3635,"2,500 (BOL)",7000,8/30/1998,15,Hughes,USA,Baikonur Cosmodrome,Proton K,1998-050A,25462
Astra 2B,Luxembourg,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,,GEO,,31.33,35772,35801,0.000344,0.07,1436.11,3315,1400,7800,9/14/2000,14yrs.,Astrium,France/UK/Germany,Guiana Space Center,Ariane 5G,2000-054A,26494
Astra 2C,Luxembourg,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,,GEO,,28.21,35768,35804,0.000427,0.07,1436.12,3643,2000,7000,6/16/2001,15,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton K,2001-025A,26853
Astra 2D,Luxembourg,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,,GEO,,28.14,35770,35802,0.00038,0.07,1436.1,1420,700,1500,12/19/2000,15,Hughes,USA,Guiana Space Center,Ariane 5G,2000-081A,26638
Astra 2E,Luxembourg,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,,GEO,,28.2,35781,35793,0.000142,0.11,1436.12,6052,,13000,9/29/2013,15,EADS Astrium,France,Baikonur Cosmodrome,Proton M,2013-056A,39285
Astra 2F,Luxembourg,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,,GEO,,28.2,35777,35795,0.000213,0.06,1436.07,6000,2660,,9/28/2012,15,EADS Astrium,France/UK/Germany,Guiana Space Center,Ariane 5 ECA,2012-051A,38778
Astra 2G,NR,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,,GEO,,28.2,35785,35789,4.74E-05,0.09,1436.11,6000,,13000,12/27/2014,15,Airbus Defense and Space,Germany/France,Baikonur Cosmodrome,Proton-M,2014-089A,40364
Astra 3A,Luxembourg,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,,GEO,,23.48,35770,35804,0.000403,0.06,1436.07,1500,750,1500,3/29/2002,10,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2002-015B,27400
Astra 3B,Luxembourg,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,,GEO,,23.5,35768,35806,0.000451,0.08,1436.11,5471,,10000,5/21/2010,15,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,2010-021A,36581
Astra 5B,Luxembourg,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,,GEO,,31.55,35787,35793,7.12E-05,0.05,1436.26,5724,,,3/22/2014,15,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA,2014-011B,39617
Astrosat,NR,Telemetry Tracking and Command Network (ISTRAC) Centre,India,Government,Space Science,,LEO,Equatorial,0,632,649,0.00121,5.99,97.54,230,,,9/28/2015,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C-30,2015-052A,40930
Athena-Fidus,France,Centre National d'Etudes Spatiales (CNES)/Agenzia Spaziale Italiana (ASI),France/Italy,Government/Military,Communications,,GEO,,25,35784,35788,4.74E-05,0.05,1436.06,3080,,,2/6/2014,15,Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA,2014-006B,39509
Athenoxat-1,NR,Microspace Rapid Pvt Ltd.,Singapore,Commercial,Technology Development,,LEO,Equatorial,0,532,550,0.0013,14.98,95.46,6,,,12/16/2015,,Microspace Rapid Pvt Ltd.,Singapore,Satish Dhawan Space Center,PSLV-C29,2015-077C,41168
Aurora,Russia,Sputnix Ltd.,Russia,Commercial,Technology Development,,LEO,Sun-Synchronous,0,583,618,0.00251,97.99,96.7,25,,,6/19/2014,1 yr.,Sputnix Ltd.,Russia,Dombarovsky Air Base,Dnepr,2014-033H,40017
Azerspace/Africasat-1a,Azerbaijan,Ministry of Communications and Information Technologies,Azerbaijan,Government,Communications,,GEO,,46,35778,35794,0.00019,0.04,1436.08,3250,1438,,2/7/2013,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2013-006B,39079
Badr 4,NR,Arab Satellite Communications Org. (ASCO),Multinational,Government,Communications,,GEO,,26.02,35780,35791,0.00013,0.07,1436.06,3304,1487,,11/8/2006,15,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2006-051A,29526
Badr 5,NR,Arab Satellite Communications Org. (ASCO),Multinational,Government,Communications,,GEO,,26,35834,35883,0.00058,0.06,1439.76,5420,,,6/3/2010,15,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton,2010-025A,36592
Badr 5A,NR,Arab Satellite Communications Org. (ASCO),Multinational,Government,Communications,,GEO,,30.5,35605,35623,0.000214,0.03,1427.27,4940,,,6/26/2010,15,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,2010-032B,36745
Badr 6,NR,Arab Satellite Communications Org. (ASCO),Multinational,Government,Communications,,GEO,,26.08,35768,35805,0.000439,0.05,1436.1,3400,,6000,7/7/2008,15,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,2008-034B,33154
Badr 7,NR,Arab Satellite Communications Org. (ASCO),Multinational,Government,Communications,,GEO,,26,35768,35817,0.000581,0.1,1436,5500,,,11/10/2015,15,Airbus Defense and Space,France/UK/Germany/Spain,Guiana Space Center,Ariane 5,2015-065B,41029
Cosmos 2503,Russia,Ministry of Defense,Russia,Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,0,570,586,0.00115,97.7,96.1,4000,,,2/27/2015,5,Progress Rocket and Space Center,Russia,Plesetsk Cosmodrome,Soyuz-2.1b,2015-009A,40420
Cosmos 2515,NR,Ministry of Defense,Russia,Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,0,549,594,0.00324,97.62,96.1,4000,,,3/24/2016,5,Progress Rocket and Space Center,Russia,Plesetsk Cosmodrome,Soyuz 2.1a,2016-020A,41394
BeeSat-1,Germany,Institut für Luft- und Raumfahrt,Germany,Civil,Technology Development,,LEO,Sun-Synchronous,0,709,718,0.000635,98.3,99,1,,,9/23/2009,1 yr.,Technische Universität Berlin,Germany,Satish Dhawan Space Center,PSLV,2009-051C,35933
BeeSat-2,Germany,Institut für Luft- und Raumfahrt,Germany,Civil,Technology Development,,LEO,Non-Polar Inclined,0,555,579,0.00173,64.8,96.01,1,,,4/19/2013,1 yr.,Technische Universität Berlin,Germany,Baikonur Cosmodrome,Soyuz 2.1a,2013-015G,39136
BeeSat-3,Germany,Institut für Luft- und Raumfahrt,Germany,Civil,Technology Development,,LEO,Non-Polar Inclined,0,554,581,0.00195,64.8,96.01,1,,,4/19/2013,1 yr.,Technische Universität Berlin,Germany,Baikonur Cosmodrome,Soyuz 2.1a,2013-015E,39134
Beidou 2-12,China,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0,21460,21595,0.00242,55.16,773.19,2200,,,4/28/2012,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2012-018A,38250
Beidou 2-13,China,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0,21452,21603,0.00271,55.1,773.21,2200,,,4/28/2012,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2012-018B,38251
Beidou 2-14,China,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0,21462,21591,0.00231,55,773.1,3800,,,9/18/2012,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2012-050A,38774
Beidou 2-15,China,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0,21477,21574,0.00174,55,773.1,3800,,,9/18/2012,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2012-050B,38775
Beidou 2-16,China,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,,GEO,,80,35775,35799,0.000285,1.84,1436.11,3800,2300,,10/25/2012,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3C,2012-059A,38953
Beidou 2-23,NR,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,,GEO,,144,35776,35794,0.000213,1.84,1436.1,3800,,,6/12/2016,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3C,2016-037A,41586
Beidou 3I-1S,China,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,,GEO,,107.48,35796,36781,0.0115,54.9,1461.81,4200,,,3/30/2015,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3C,2015-019A,40549
Beidou 3I-2S,NR,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,,GEO,,89.5,35606,35953,0.00412,55,1435.73,4200,,,9/29/2015,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2015-053A,40938
Beidou 3M-1S,NR,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0,21520,21549,0.00052,55,773.2,800,,,7/25/2015,5,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2015-037A,40748
Beidou 3M-2S,NR,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0,21521,21550,0.00052,55,773.3,800,,,7/25/2015,5,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2015-037B,40749
Beidou 3M-3S,NR,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0,21524,21532,0.000143,55,773.2,800,,,2/1/2016,5,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3C,2016-006A,41315
Beidou G-1,China,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,,GEO,,144.5,35768,35803,0.000415,1.78,1436.05,2200,,,1/16/2010,,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3C,2010-001A,36287
Beidou G3,China,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,,GEO,,84.7,35774,35797,0.000273,1.83,1436.05,2200,,,6/2/2010,,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3,2010-024A,36590
Beidou G4,China,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,,GEO,,160,35764,35809,0.000534,1.43,1436.1,6000,,,10/31/2010,,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3C,2010-057A,37210
Beidou G5,China,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,,GEO,,59,35776,35799,0.000273,1.87,1436.15,2300,,,2/24/2012,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3A,2012-008A,38091
Beidou IGSO-1,China,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,,GEO,,118,35670,35893,0.00265,55.09,1435.82,4200,1900,,7/31/2010,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3A,2010-036A,36828
Beidou IGSO-2,China,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,,GEO,,118,35717,35817,0.00119,55.23,1436.12,4200,1900,,12/17/2010,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3A,2010-068A,37256
Beidou IGSO-3,China,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,,GEO,,118,35693,37872,0.0252,96.4,1435.93,4200,1900,,4/9/2011,,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3A,2011-013A,37384
Beidou IGSO-4,China,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,,GEO,,0,35708,35879,0.00203,55.2,1435.1,4200,1900,,7/26/2011,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3A,2011-038A,37763
Beidou IGSO-5,China,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,,GEO,,104.21,35708,35864,0.00185,55.16,1436.08,4200,1900,,12/1/2011,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3A,2011-073A,37948
Beidou IGSO-6,NR,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,,GEO,,100.3,35676,35890,0.00254,54.97,1435.92,4200,1900,,3/30/2016,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3A,2016-021A,41434
Beidou M1,China,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0,21519,21545,0.000466,55.26,773.39,2200,,,4/14/2007,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3A,2007-011A,31115
BeijinGalaxy-1,China,Beijing Landview Mapping Information Technology Co. Ltd (BLMIT),China,Civil,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,681,703,0.00156,97.9,98.6,166,155,50,10/27/2005,7,Tsinghua University/University of Surrey,China/United Kingdom,Plesetsk Cosmodrome,Kosmos 3M,2005-043A,28890
Belintersat-1,NR,Belintersat,Belarus,Government,Communications,,GEO,,51.5,35779,35792,0.000154,0.46,1436.06,5223,,,1/15/2016,15,Chinese Academy of Space Technology/Thales Alenia Space,China/France,Xichang Satellite Launch Center,Long March 3B,2016-001A,41238
BermudaSat-1,USA,"Echostar Technologies, LLC - leased to Bermuda, operated by SES Satellites",USA,Commercial,Communications,,GEO,,-96.2,35775,35798,0.000273,0.07,1436.12,3700,1493,11000,7/14/2000,12,Space Systems/Loral,USA,Cape Canaveral,Atlas 2AS,2000-038A,26402
Bispectral InfraRed Detector 2 (Bird 2),Germany,Institute of Space Sensor Technology and Planetary Exploration,Germany,Government/Civil,Earth Observation/Technology Development,Optical Imaging,LEO,Sun-Synchronous,0,500,521,0.00153,97.9,94.8,92,77,120,10/22/2001,1.5,Deutsches Zentrum für Luft- und Raumfahrt,Germany,Satish Dhawan Space Centre,PSLV C3,2001-049C,26959
BIROS,NR,German Aerospace Center (DLR),Germany,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,500,517,0.00124,97.5,94.7,130,,,6/22/2016,,German Aerospace Center (DLR),Germany,Satish Dhawan Space Centre,PSLV XL,2016-040F,41604
BisonSat,NR,Salish Kootenai College,USA,Civil,Earth Observation/Technology Development,Optical Imaging,LEO,Non-Polar Inclined,0,497,801,0.0217,64.78,97.7,1,,,10/8/2015,,Salish Kootenai College,USA,Cape Canaveral,Atlas 5,2015-058E,40968
BKA 2,Belarus,National Academy of Sciences,Belarus,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,503,507,0.000291,97.5,94.7,400,110,300,7/22/2012,5,NPO VNIIEM,Russia,Baikonur Cosmodrome,Soyuz-Fregat,2012-039B,38708
Brazilsat B-2,Brazil,Star One (SES [Société Européenne des Satellites (SES)]),Brazil,Military/Commercial,Communications,,GEO,,-68,35776,35797,0.000249,0.84,1436.11,1780,"1,050 (BOL)","1,800 (BOL)",3/28/1995,12,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44LP,1995-016A,23536
Brazilsat B-3,Brazil,Star One (SES [Société Européenne des Satellites (SES)]),Brazil,Commercial,Communications,,GEO,,-74.96,35769,35803,0.000403,0.04,1436.07,1780,"1,050 (BOL)","1,800 (BOL)",2/4/1998,12,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44LP,1998-006A,25152
Brazilsat B-4,Brazil,Star One (SES [Société Européenne des Satellites (SES)]),Brazil,Commercial,Communications,,GEO,,-84.03,35772,35800,0.000332,0.07,1436.09,2495,"1,050 (BOL)","1,800 (BOL)",8/17/2000,12,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44LP,2000-046A,26469
BRISat,NR,Bank Rakyat Indonesia (BRI),Indonesia,Commercial,Communications,,GEO,,150.5,35702,35876,0.00206,0.07,1436.2,3540,,,6/19/2016,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2016-039A,41591
BRITE-CA-1,NR,"University of Toronto, Institute for Aerospace Studies",Canada,Civil,Space Science,,LEO,Sun-Synchronous,0,613,739,0.00894,97.97,98.27,10,,,6/19/2014,,"University of Toronto, Institute for Aerospace Studies",Canada,Dombarovsky Air Base,Dnepr,2014-033L,40020
BRITE-PL-1,Poland,BRITE Consortium,Multinational,Government,Space Science,,LEO,Sun-Synchronous,0,594,886,0.0205,97.7,99.6,10,,,11/21/2013,2,"Space Research Center, Polish Academy of Sciences",Poland,Dombarovsky Air Base,Dnepr,2013-066R,39431
BRITE-PL-2,NR,BRITE Consortium,Multinational,Government,Space Science,,LEO,Sun-Synchronous,0,610,633,0.00164,98.02,97.1,10,,,8/19/2014,2,"Space Research Center, Polish Academy of Sciences",Poland,Taiyuan Launch Center,CZ-4B,2014-049B,40119
BSAT-3A,Japan,Broadcasting Satellite System Corp.,Japan,Commercial,Communications,,GEO,,109.91,35778,35794,0.00019,0.03,1436.1,1980,,,8/14/2007,13,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2007-036B,32019
BSAT-3B,Japan,Broadcasting Satellite System Corp.,Japan,Commercial,Communications,,GEO,,110,33066,35725,0.0326,0.07,1365.61,2060,975,,10/28/2010,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2010-056B,37207
BSAT-3C/JCSat 110-R,Japan,Broadcasting Satellite System Corp./Sky Perfect JSAT Corporation,Japan,Commercial,Communications,,GEO,,110,35784,35787,3.56E-05,0.05,1436.04,2910,,,8/6/2011,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2011-041B,37776
Bugsat-1,NR,Satellogic S.A.,Argentina,Commercial,Technology Development,,LEO,Sun-Synchronous,0,570,617,0.00337,97.99,96.55,25,,,6/19/2014,,Satellogic S.A.,Argentina,Dombarovsky Air Base,Dnepr,2014-033E,40014
Calipso,France,Centre National d'Etudes Spatiales (CNES)/NASA,France/USA,Government,Earth Science,,LEO,Sun-Synchronous,0,702,703,7.07E-05,98.2,98.8,587,,550,4/28/2006,3,Alcatel Alenia Space,France,Vandenberg AFB,Delta 2,2006-016B,29108
Canopus-B,Russia,Scientific Production Corporation (joint stock creation of Russian Space Agency),Russia,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,501,505,0.000291,97.5,94.7,400,110,300,7/22/2012,5,All-Russia Research Institute of Electromechanics (NPP VNIIEM),Russia,Baikonur Cosmodrome,Soyuz-Fregat,2012-039A,38707
CartoSat 1,India,Indian Space Research Organization (ISRO),India,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,618,619,7.15E-05,97.9,97.1,1560,1450,1100,5/5/2005,6,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C6,2005-017A,28649
CartoSat 2,India,Indian Space Research Organization (ISRO),India,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,632,635,0.000214,97,97.4,680,,,1/10/2007,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C7,2007-001B,29710
CartoSat 2A,India,Indian Space Research Organization (ISRO),India,Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,624,643,0.00136,97.9,97.4,680,,,4/28/2008,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,PSLV C9,2008-021A,32783
CartoSat 2B,India,Indian Space Research Organization (ISRO),India,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,622,645,0.00164,97.9,97.4,694,,,7/12/2010,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,PSLV,2010-035A,36795
CartoSat 2C,NR,Indian Space Research Organization (ISRO),India,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,501,519,0.00131,97.5,94.8,727,,,6/22/2016,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center ,PSLV XL,2016-040A,41599
Cassiope,NR,Canadian Space Agency,Canada,Government,Earth Science,,LEO,Elliptical,0,325,1486,0.0798,81,103.11,490,,600,9/29/2013,2,Canadian Space Agency,Canada,Vandenberg AFB,Falcon 9,2013-055A,39265
CBERS 4,NR,China National Space Administration (China)/National Institute for Space Research (Brazil),China/Brazil,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,738,748,0.000703,98.55,99.67,1980,,2300,12/7/2014,3,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4B,2014-079A,40336
CBNT-1,NR,Surrey Satellite Technology Ltd.,United Kingdom,Commercial,Technology Development,,LEO,Sun-Synchronous,0,636,658,0.00157,98,97.66,91,,,7/10/2015,,Surrey Satellite Technologies Ltd.,United Kingdom,Satish Dhawan Space Centre,PSLV,2015-032D,40718
CFESat,USA,Los Alamos National Labs (LANL),USA,Government,Technology Development,,LEO,Non-Polar Inclined,0,538,544,0.000434,35.4,95.5,159,,110,3/9/2007,,Surrey Satellite Technologies Ltd.,United Kingdom,Cape Canaveral,Atlas 5,2007-006F,30777
Chandra X-Ray Observatory (CXO),USA,NASA Goddard Space Flight Center,USA,Government,Space Science,,Elliptical,Deep Highly Eccentric,0,9999,138825,0.797,28.5,3808.92,4742,,2500,7/23/1999,5,TRW Space and Electronics,USA,Cape Canaveral,Space Shuttle (STS 93),1999-040B,25867
